61
1.0000000 0.0015750
0.9972610 0.0020546
0.9890738 0.0034785
0.9755283 0.0058031
0.9567727 0.0089595
0.9330127 0.0128579
0.9045085 0.0173929
0.8715724 0.0224488
0.8345653 0.0279035
0.7938927 0.0336315
0.7500000 0.0395038
0.7033683 0.0453882
0.6545085 0.0511468
0.6039559 0.0566343
0.5522643 0.0616973
0.5000000 0.0661753
0.4477358 0.0699035
0.3960442 0.0727188
0.3454915 0.0744684
0.2966317 0.0750187
0.2500000 0.0742655
0.2061074 0.0721427
0.1654347 0.0686278
0.1284276 0.0637448
0.0954915 0.0575612
0.0669873 0.0501815
0.0432273 0.0417360
0.0244717 0.0323666
0.0109262 0.0222121
0.0027391 0.0113931
0.0000000 0.0000000
0.0027391 -0.0113931
0.0109262 -0.0222121
0.0244717 -0.0323666
0.0432273 -0.0417360
0.0669873 -0.0501815
0.0954915 -0.0575612
0.1284276 -0.0637448
0.1654347 -0.0686278
0.2061074 -0.0721427
0.2500000 -0.0742655
0.2966317 -0.0750187
0.3454915 -0.0744684
0.3960442 -0.0727188
0.4477358 -0.0699035
0.5000000 -0.0661753
0.5522643 -0.0616973
0.6039559 -0.0566343
0.6545085 -0.0511468
0.7033683 -0.0453882
0.7500000 -0.0395038
0.7938927 -0.0336315
0.8345653 -0.0279035
0.8715724 -0.0224488
0.9045085 -0.0173929
0.9330127 -0.0128579
0.9567727 -0.0089595
0.9755283 -0.0058031
0.9890738 -0.0034785
0.9972610 -0.0020546
1.0000000 -0.0015750
